id,title,score,start_date,end_date,members,demographic,is_finished,magazine,tags
1,Monster,9.16,1994-12-05T00:00:00+00:00,2001-12-20T00:00:00+00:00,286282.0,Seinen,1,Big Comic Original,"Award Winning, Drama, Mystery, Adult Cast, Psychological"
2,Berserk,9.46,1989-08-25T00:00:00+00:00,,788212.0,Seinen,0,Young Animal,"Action, Adventure, Award Winning, Drama, Fantasy, Horror, Gore, Military, Psychological"
3,20th Century Boys,8.93,1999-09-27T00:00:00+00:00,2006-04-24T00:00:00+00:00,307288.0,Seinen,1,Big Comic Spirits,"Award Winning, Drama, Mystery, Sci-Fi, Historical, Psychological"
4,Yokohama Kaidashi Kikou,8.64,1994-04-25T00:00:00+00:00,2006-02-25T00:00:00+00:00,85153.0,Seinen,1,Afternoon,"Award Winning, Sci-Fi, Slice of Life, Iyashikei"
7,Hajime no Ippo: Fighting Spirit!,8.75,1989-09-27T00:00:00+00:00,,101265.0,Shounen,0,Shounen Magazine (Weekly),"Award Winning, Sports, Combat Sports"
8,Full Moon wo Sagashite,8.02,2001-12-01T00:00:00+00:00,2004-04-30T00:00:00+00:00,40842.0,Shoujo,1,Ribon Magazine,"Comedy, Drama, Fantasy, Romance, Supernatural, Music, Showbiz"
9,Tsubasa: RESERVoir CHRoNiCLE,8.29,2003-05-21T00:00:00+00:00,2009-10-07T00:00:00+00:00,85084.0,Shounen,1,Shounen Magazine (Weekly),"Action, Adventure, Drama, Fantasy"
10,xxxHOLiC,8.37,2003-02-24T00:00:00+00:00,2011-02-09T00:00:00+00:00,91392.0,Seinen,1,Young Magazine (Weekly),"Comedy, Drama, Mystery, Supernatural"
11,Naruto,8.08,1999-09-21T00:00:00+00:00,2014-11-10T00:00:00+00:00,442011.0,Shounen,1,Shounen Jump (Weekly),"Action, Adventure, Fantasy, Martial Arts"
12,Bleach,7.92,2001-08-07T00:00:00+00:00,2016-08-22T00:00:00+00:00,422426.0,Shounen,1,Shounen Jump (Weekly),"Action, Adventure, Award Winning, Supernatural"
13,One Piece,9.22,1997-07-22T00:00:00+00:00,,691001.0,Shounen,0,Shounen Jump (Weekly),"Action, Adventure, Fantasy"
14,Rave Master,7.84,1999-07-07T00:00:00+00:00,2005-07-27T00:00:00+00:00,52752.0,Shounen,1,Shounen Magazine (Weekly),"Adventure, Comedy, Fantasy"
15,Negima! Magister Negi Magi,7.91,2003-02-26T00:00:00+00:00,2012-03-14T00:00:00+00:00,77494.0,Shounen,1,Shounen Magazine (Weekly),"Action, Adventure, Comedy, Fantasy, Romance, Supernatural, Ecchi, Harem, Martial Arts, School"
16,Love Hina,7.77,1998-10-21T00:00:00+00:00,2001-10-31T00:00:00+00:00,70915.0,Shounen,1,Shounen Magazine (Weekly),"Award Winning, Comedy, Romance, Ecchi, Harem"
17,Kare Kano: His and Her Circumstances,8.14,1995-12-22T00:00:00+00:00,2005-05-10T00:00:00+00:00,41839.0,Shoujo,1,LaLa,"Comedy, Drama, Romance, School"
18,Kodocha: Sana's Stage,8.29,1994-07-02T00:00:00+00:00,1998-10-03T00:00:00+00:00,24932.0,Shoujo,1,Ribon Magazine,"Award Winning, Comedy, Drama, Romance, Slice of Life, Love Polygon, School, Showbiz"
19,GetBackers,7.63,1999-03-24T00:00:00+00:00,2007-02-21T00:00:00+00:00,16222.0,Shounen,1,Shounen Magazine (Weekly),"Action, Comedy, Drama, Mystery, Supernatural, Ecchi"
20,Hikaru no Go,8.11,1998-12-08T00:00:00+00:00,2003-07-14T00:00:00+00:00,49980.0,Shounen,1,Shounen Jump (Weekly),"Award Winning, Comedy, Drama, Supernatural, Strategy Game"
21,Death Note,8.68,2003-12-01T00:00:00+00:00,2006-05-15T00:00:00+00:00,426881.0,Shounen,1,Shounen Jump (Weekly),"Supernatural, Suspense, Psychological"
22,Rurouni Kenshin: Meiji Swordsman Romantic Story,8.53,1994-04-12T00:00:00+00:00,1999-09-21T00:00:00+00:00,104288.0,Shounen,1,Shounen Jump (Weekly),"Action, Drama, Historical, Samurai"
23,Ranma 1/2,8.0,1987-08-05T00:00:00+00:00,1996-02-21T00:00:00+00:00,58050.0,Shounen,1,Shounen Sunday,"Action, Comedy, Romance, Ecchi, Harem, Martial Arts, School"
24,D.Gray-man,8.28,2004-05-31T00:00:00+00:00,,170391.0,Shounen,0,Jump SQ.Rise,"Action, Adventure, Fantasy, Urban Fantasy"
